,Unnamed: 0,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
15760,15760,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
15796,15796,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
15832,15832,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
15904,15904,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
15940,15940,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
15976,15976,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
16012,16012,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
16048,16048,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
16084,16084,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
16120,16120,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
16156,16156,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
16192,16192,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
16228,16228,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
16300,16300,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
16336,16336,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
16372,16372,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
16408,16408,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
16444,16444,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
16480,16480,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
16516,16516,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
16552,16552,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
16588,16588,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
16624,16624,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
16696,16696,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
16732,16732,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
