,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
19797,19797,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,10.0,5.0,3.0,reference,72069,MisinfoPy
19869,19869,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,1.0,5.0,3.0,reference,72141,MisinfoPy
19905,19905,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,2.0,5.0,3.0,reference,72177,MisinfoPy
19941,19941,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,3.0,5.0,3.0,reference,72213,MisinfoPy
19977,19977,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,4.0,5.0,3.0,reference,72249,MisinfoPy
20013,20013,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,5.0,5.0,3.0,reference,72285,MisinfoPy
20049,20049,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,6.0,5.0,3.0,reference,72321,MisinfoPy
20085,20085,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,7.0,5.0,3.0,reference,72357,MisinfoPy
20121,20121,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,8.0,5.0,3.0,reference,72393,MisinfoPy
20157,20157,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,9.0,5.0,3.0,reference,72429,MisinfoPy
20193,20193,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,10.0,5.0,3.0,reference,72465,MisinfoPy
20265,20265,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,1.0,5.0,3.0,reference,72537,MisinfoPy
20301,20301,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,2.0,5.0,3.0,reference,72573,MisinfoPy
20337,20337,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,3.0,5.0,3.0,reference,72609,MisinfoPy
20373,20373,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,4.0,5.0,3.0,reference,72645,MisinfoPy
20409,20409,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,5.0,5.0,3.0,reference,72681,MisinfoPy
20445,20445,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,6.0,5.0,3.0,reference,72717,MisinfoPy
20481,20481,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,7.0,5.0,3.0,reference,72753,MisinfoPy
