,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
14613,14613,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,9.0,5.0,3.0,reference,14613,MisinfoPy
14649,14649,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,10.0,5.0,3.0,reference,14649,MisinfoPy
14721,14721,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,1.0,5.0,3.0,reference,14721,MisinfoPy
14757,14757,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,2.0,5.0,3.0,reference,14757,MisinfoPy
14793,14793,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,3.0,5.0,3.0,reference,14793,MisinfoPy
14829,14829,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,4.0,5.0,3.0,reference,14829,MisinfoPy
14865,14865,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,5.0,5.0,3.0,reference,14865,MisinfoPy
14901,14901,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,6.0,5.0,3.0,reference,14901,MisinfoPy
14937,14937,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,7.0,5.0,3.0,reference,14937,MisinfoPy
14973,14973,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,8.0,5.0,3.0,reference,14973,MisinfoPy
15009,15009,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,9.0,5.0,3.0,reference,15009,MisinfoPy
15045,15045,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,4.0,10.0,5.0,3.0,reference,15045,MisinfoPy
